33;Domännamn;En namngiven ip-adress. 
34;DNS;Översätter domännamn till IP-adresser så att att en server kan läsa adressen. 
35;Port;En adress till en specifik process, den talar om vart i datorn datan ska skickas. 
36;Nod;En enhet i ett nätverk, en klient i nätverket såsom skrivare eller dator. 
37;Versionshantering;Används för att kunna backa arbetet vid behov och utveckla nya saker utan att riskera att man förstör den nuvarande filen. Man kan också se hela händelseförloppet och vem som har gjort vad, när det har skett och varför. Detta arbetsätt gör det också möjligt att vara flera som arbetar i samma fil samtidigt. 
38;Repo;Ett ställe där man samlar alla versioner av samma fil nör man jobbar enligt versionshantering. Det består av huvudfilen master och kopiorna med utvecklingar eller ändringar ligger i så kallade branches. Man kan också jobba med tags för att märka en version av koden, man taggar ofta vid en release av koden eller produkten för att kunna gå tillbaka och se hur koden såg ut i ett specifikt ögonblick. 
39;Centraliserat VCS ;En programvara med en enkel struktur med ett repo och en server som utvecklaren tar ner till klienten. Man hämtar och laddar upp data. Man jobbar direkt mot servern och detta system används oftast när man bara är en utvecklare eftersom det är lite känsligare och finns större risk att saker går fel.  Man är också beroende av servern och att den alltid är uppkopplad. 
40;Versionshanteringssystem;En programvara som används för att se och hantera ändringar i ett repo. 
41;Distribuerat VCS;En programvara där servern tillhandahåller ett repro som utvecklaren klonar ner så att man får en lokal kopia. Ändringar ger nya versioner och kontakt med servern sker när man hämtar eller laddar upp data. Detta innebär också att projektet tar utrymme på datorn eftersom man laddar ner en lokal kopia av hela projektet. 
42;Branch;En kopia av ett repo som man arbetar i när man utvecklar nya delar eller gör uppdateringar för att inte skada huvukoden och för att flera personer ska kunna rbeta med samma fil eller projekt samtidigt. 
43;Faktorisering;Betyder omskrivning av kod. 
44;SCRUM;Ett ramverk där man arbetar agilt som bygger på olika delmoment som kallas för sprintar. 
45;Algoritm;En steg för steg beskrivning med instruktioner som är avsedda att utföra en uppgift eller lösa ett problem. 
46;RAM;En tillfällig lagringsplats där allt minne vi använder just nu lagras, primärminne. 
47;Hårddisk;En permanentlagringsplats. 
48;CPU;En processor som utför instruktioner ungeför som en dators hjärna. 
49;Operativsystem;Länken mellan datorns maskinvara och användaren. Det består av tre delar kärnan, användarprogram och systembibliotek.
50;Vattenfallsmodellen;En utvecklingsprocess som är enkelriktad och går från steg till steg i ett flöde. Man löser problem i den fas man är i. 
51;Agil;Detta arbetssätt är populärt inom systemutveckling och innebär att man arbetar i en iterativ, inkremenell och utforskande process. Det betyder att man jobbar med delleveranser i korta iterativa cykler för att kunna arbeta flexibelt. 
52;Funktionella krav;De delar i ett system som ska kunna ske. 
53;Icke funktionella krav;Syftar oftast på det grafiska, hur vi integrerar och styr. Det som en användare styr och interagerar med i ett program. Det är också alla verktyg som agerar som en länk mellan användare och dator alltså även tangetbort, mus och högtalare. 
54;Kompilering;Att översätta källkod till maskinkod. 
